Date taken	Filename	Image source	Page link
Thursday May 1, 2014	1484692188_37_0.jpg	https://icons.wxug.com/data/wximagenew/n/no1gene/0.jpg	https://www.wunderground.com//wximage/no1gene/0?gallery=
Tuesday January 17, 2017	1484692188_38_14783.jpg	https://icons.wxug.com/data/wximagenew/d/DCMaki/14783.jpg	https://www.wunderground.com//wximage/DCMaki/14783?gallery=
Tuesday January 17, 2017	1484692188_39_14782.jpg	https://icons.wxug.com/data/wximagenew/d/DCMaki/14782.jpg	https://www.wunderground.com//wximage/DCMaki/14782?gallery=
Tuesday January 17, 2017	1484692188_40_14781.jpg	https://icons.wxug.com/data/wximagenew/d/DCMaki/14781.jpg	https://www.wunderground.com//wximage/DCMaki/14781?gallery=
Tuesday January 17, 2017	1484692189_41_14780.jpg	https://icons.wxug.com/data/wximagenew/d/DCMaki/14780.jpg	https://www.wunderground.com//wximage/DCMaki/14780?gallery=
Monday January 16, 2017	1484692189_42_3474.jpg	https://icons.wxug.com/data/wximagenew/g/gingyb/3474.jpg	https://www.wunderground.com//wximage/gingyb/3474?gallery=
Tuesday January 17, 2017	1484692189_43_19.jpg	https://icons.wxug.com/data/wximagenew/c/Cindyspiano/19.jpg	https://www.wunderground.com//wximage/Cindyspiano/19?gallery=
Tuesday January 17, 2017	1484692189_44_12590.jpg	https://icons.wxug.com/data/wximagenew/n/noneinc/12590.jpg	https://www.wunderground.com//wximage/noneinc/12590?gallery=
Monday January 16, 2017	1484692189_45_12589.jpg	https://icons.wxug.com/data/wximagenew/n/noneinc/12589.jpg	https://www.wunderground.com//wximage/noneinc/12589?gallery=
Sunday January 15, 2017	1484692189_46_12588.jpg	https://icons.wxug.com/data/wximagenew/n/noneinc/12588.jpg	https://www.wunderground.com//wximage/noneinc/12588?gallery=
Saturday January 14, 2017	1484692189_47_12587.jpg	https://icons.wxug.com/data/wximagenew/n/noneinc/12587.jpg	https://www.wunderground.com//wximage/noneinc/12587?gallery=
Friday January 13, 2017	1484692190_48_12586.jpg	https://icons.wxug.com/data/wximagenew/n/noneinc/12586.jpg	https://www.wunderground.com//wximage/noneinc/12586?gallery=
Wednesday January 11, 2017	1484692190_49_12585.jpg	https://icons.wxug.com/data/wximagenew/n/noneinc/12585.jpg	https://www.wunderground.com//wximage/noneinc/12585?gallery=
Tuesday January 17, 2017	1484692190_50_20.jpg	https://icons.wxug.com/data/wximagenew/h/Hildi/20.jpg	https://www.wunderground.com//wximage/Hildi/20?gallery=
